PLAYER_ID,PLAYER_NAME,AGE,POSS,GP,MIN,season,position,three_pt_fgm_75,three_pt_fga_75,fg3m_uncontested_75,fg3a_uncontested_75,fg3m_spotup_75,fg3m_movement_75,fg3m_onball_75,fg3m_transition_75,pct_fg3a_uncontested,fg3_pct
203954,Joel Embiid,30.0,2750,39,33.6,2023-24,Center-Forward,1.4727272727272727,3.7363636363636363,0.9272727272727272,1.7727272727272727,0.5181818181818182,0.5454545454545454,0.21818181818181817,0.19090909090909092,0.4744525547445255,0.3941605839416058
203957,Dante Exum,28.0,2310,55,19.8,2023-24,Guard,1.7207792207792207,3.4415584415584415,1.525974025974026,2.857142857142857,0.0,0.06493506493506493,0.06493506493506493,0.16233766233766234,0.8301886792452831,0.5
203967,Dario Saric,30.0,2294,64,17.2,2023-24,Forward-Center,2.4193548387096775,6.440714908456844,1.8962510897994769,4.413687881429817,1.111595466434176,0.7846556233653008,0.0,0.0,0.6852791878172588,0.3756345177664975
203991,Clint Capela,30.0,3987,73,25.8,2023-24,Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
203992,Bogdan Bogdanovic,31.0,5082,79,30.4,2023-24,Guard,3.541912632821724,9.400826446280991,1.254427390791027,2.612160566706021,1.4757969303423848,0.7231404958677686,0.3689492325855962,0.0,0.2778649921507064,0.37676609105180536
203994,Jusuf Nurkic,29.0,4327,76,27.3,2023-24,Center,0.3813265541945921,1.559972267159695,0.3639935290039288,1.4559741160157151,0.2253293274786226,0.08666512595331638,0.0,0.06933210076265311,0.9333333333333332,0.24444444444444444
203995,Vasilije Micic,30.0,2395,60,19.6,2023-24,Guard,1.346555323590814,4.822546972860125,0.4384133611691023,2.066805845511482,0.4384133611691023,0.06263048016701461,0.6576200417536534,0.09394572025052192,0.4285714285714286,0.2792207792207792
203999,Nikola Jokic,29.0,5599,79,34.6,2023-24,Center,1.1118056795856401,2.9871405608144315,0.5224147169137345,1.285943918556885,0.4018574745490266,0.42864797285229506,0.1875334881228791,0.01339524915163422,0.4304932735426008,0.37219730941704027
204001,Kristaps Porzingis,28.0,3549,57,29.6,2023-24,Forward-Center,2.3245984784446323,6.149619611158073,1.3736263736263736,3.275570583262891,1.0777683854606932,0.19019442096365174,0.0,0.14792899408284024,0.5326460481099656,0.37800687285223367
204060,Joe Ingles,36.0,2412,68,17.2,2023-24,Forward-Guard,2.1766169154228856,4.944029850746269,1.585820895522388,2.922885572139304,1.2748756218905473,0.06218905472636816,0.12437810945273632,0.4975124378109453,0.5911949685534591,0.440251572327044
204456,T.J. McConnell,32.0,2784,71,18.2,2023-24,Guard,0.4849137931034483,1.1584051724137931,0.4040948275862069,0.9698275862068966,0.21551724137931033,0.05387931034482758,0.16163793103448276,0.05387931034482758,0.8372093023255813,0.41860465116279066
1626145,Tyus Jones,28.0,4204,66,29.3,2023-24,Guard,1.891056137012369,4.567078972407232,1.2488106565176023,2.7117031398667937,0.0,0.08920076117982874,0.35680304471931495,0.7314462416745956,0.59375,0.41406249999999994
1626153,Delon Wright,32.0,1560,47,15.8,2023-24,Guard,1.2019230769230769,3.2211538461538463,0.8173076923076923,1.875,0.2884615384615385,0.0,0.04807692307692308,0.2884615384615385,0.582089552238806,0.3731343283582089
